venue,team,games_played,wins
"Barabati Stadium","Deccan Chargers",4,3
"Barabati Stadium","Kolkata Knight Riders",2,2
"Barabati Stadium","Kolkata Knight Riders",1,1
"Barabati Stadium","Kings XI Punjab",2,1
"Barabati Stadium","Pune Warriors",1,0
"Barabati Stadium","Delhi Daredevils",1,0
"Barabati Stadium","Chennai Super Kings",1,0
"Barabati Stadium","Kings XI Punjab",1,0
"Barabati Stadium","Mumbai Indians",1,0
"Brabourne Stadium","Mumbai Indians",7,6
"Brabourne Stadium","Rajasthan Royals",3,2
"Brabourne Stadium","Sunrisers Hyderabad",1,1
"Brabourne Stadium","Chennai Super Kings",1,1
"Brabourne Stadium","Royal Challengers Bangalore",1,1
"Brabourne Stadium","Kolkata Knight Riders",2,0
"Brabourne Stadium","Chennai Super Kings",1,0
"Brabourne Stadium","Mumbai Indians",1,0
"Brabourne Stadium","Rajasthan Royals",1,0
"Brabourne Stadium","Kings XI Punjab",1,0
"Brabourne Stadium","Deccan Chargers",1,0
"Brabourne Stadium","Delhi Daredevils",2,0
"Buffalo Park","Mumbai Indians",2,1
"Buffalo Park","Chennai Super Kings",1,1
"Buffalo Park","Delhi Daredevils",1,1
"Buffalo Park","Kolkata Knight Riders",1,0
"Buffalo Park","Deccan Chargers",1,0
"De Beers Diamond Oval","Kings XI Punjab",1,1
"De Beers Diamond Oval","Deccan Chargers",2,1
"De Beers Diamond Oval","Chennai Super Kings",1,1
"De Beers Diamond Oval","Rajasthan Royals",2,0
"Dr DY Patil Sports Academy","Mumbai Indians",4,3
"Dr DY Patil Sports Academy","Mumbai Indians",3,2
"Dr DY Patil Sports Academy","Chennai Super Kings",3,2
"Dr DY Patil Sports Academy","Kolkata Knight Riders",2,2
"Dr DY Patil Sports Academy","Pune Warriors",7,2
"Dr DY Patil Sports Academy","Deccan Chargers",4,2
"Dr DY Patil Sports Academy","Chennai Super Kings",1,1
"Dr DY Patil Sports Academy","Rajasthan Royals",2,1
"Dr DY Patil Sports Academy","Delhi Daredevils",2,1
